Session Date,Start Time,End Time,Site,User,Game Type,Starting Sc Balance,Ending Sc Balance,Sc Change,Freebies Detected,Dollar Value,Status,Notes,Basis Bonus,Gameplay Pnl,Total Taxable,End Date,Processed,Ending Redeemable Sc,Starting Redeemable Sc,Session Basis,Expected Start Total Sc,Expected Start Redeemable Sc,Inferred Start Total Delta,Inferred Start Redeemable Delta,Delta Total,Delta Redeem,Net Taxable Pl,Basis Consumed,Game Name,Wager Amount,Rtp
2026-01-01,00:31:00,11:48:00,Golden Hearts,fooyay,Table Games,284.9,278.48,-6.419999999999959,33.24999999999997,-6.419999999999959,Closed,,,,28.480000000000018,,1,278.48,0.0,250.0,283.05,0.0,1.849999999999966,0.0,-6.419999999999959,278.48,28.480000000000018,250.0,,,
2026-01-01,00:35:00,01:04:00,Pulsz Bingo,fooyay,Table Games,502.5,500.45,-2.0500000000000114,57.96999999999997,-2.0500000000000114,Closed,,,,-2.04999999999999,,1,31.15,0.0,442.43,500.0,0.0,2.5,0.0,-2.0500000000000114,31.15,-2.04999999999999,33.19999999999999,,,
2026-01-01,12:20:00,12:25:00,Modo,mrs. fooyay,Table Games,471.1,494.1,23.0,10.009999999999991,23.0,Closed,,,,23.0,2026-01-01,1,56.0,0.0,399.45,470.0,0.0,1.1000000000000227,0.0,23.0,56.0,23.0,33.0,,,
2026-01-01,12:21:00,12:25:00,Spree,fooyay,Table Games,24.48,0.48,-24.0,8.309999999999999,-24.0,Closed,Cross to Gwen's Modo,,,-13.01,2026-01-01,1,0.48,0.0,13.49,20.0,0.0,4.48,0.0,-24.0,0.48,-13.01,13.49,,,
2026-01-01,12:34:00,16:53:00,Modo,fooyay,Table Games,401.3,393.8,-7.5,10.310000000000002,-7.5,Closed,,,,53.84000000000003,,1,393.8,0.0,339.96,400.0,0.0,1.3000000000000114,0.0,-7.5,393.8,53.84000000000003,339.96,,,
2026-01-01,20:53:33,21:33:00,Moonspin,fooyay,Slots,436.54,411.44,-25.100000000000023,20.460000000000036,-25.100000000000023,Closed,,,,101.49000000000001,2026-01-01,1,411.44,0.0,309.95,425.0,0.0,11.54000000000002,0.0,-25.100000000000023,411.44,101.49000000000001,309.95,,,
2026-01-01,00:28:00,11:43:00,Stake,mrs. fooyay,Table Games,4511.25,4409.62,-101.63000000000011,11.25,-101.63000000000011,Closed,,,,-90.38000000000011,2026-01-01,1,4409.62,0.0,4500.0,4511.25,0.0,0.0,0.0,-101.63000000000011,4409.62,-90.38000000000011,4500.0,,,
2026-01-01,12:05:00,23:15:00,Stake,mrs. fooyay,Table Games,2506.25,2483.44,-22.809999999999945,6.25,-22.809999999999945,Closed,,,,-16.559999999999945,2026-01-01,1,2483.44,0.0,2500.0,2506.25,0.0,0.0,0.0,-22.809999999999945,2483.44,-16.559999999999945,2500.0,,,
2026-01-02,12:50:00,13:08:00,Lonestar,fooyay,Table Games,101.8,0.8,-101.0,101.8,-101.0,Closed,"Freebies acculumated.  Played roulette to cross with Gwen's Modo (which had a basis from 2025 I needed to close out).   Even though this is a -$101 gameplay loss, only $35.20 of that was redeemable balance to begin with, and that was all free SC with no basis.  So the remaining $0.80 is still free SC taxable event.",,,0.7999999999999972,2026-01-02,1,0.8,35.2,0.0,0.0,0.0,101.8,35.2,-101.0,-34.400000000000006,0.7999999999999972,0.0,,,
2026-01-02,12:50:00,13:26:00,Modo,mrs. fooyay,Table Games,494.4,607.4,113.0,0.2999999999999545,113.0,Closed,"Session has a basis from 2025.  Crossed with Elliot's Lonestar on roulette to get this one closed out and redeemable, and Elliot's LS also was all freebies, so this made sense to do.",,,184.95,2026-01-02,1,607.4,56.0,0.0,494.1,56.0,0.2999999999999545,0.0,113.0,551.4,184.95,366.45,,,
