Session Date,Start Time,End Time,Site,User,Game Type,Starting Sc Balance,Ending Sc Balance,Notes,End Date,Ending Redeemable Sc,Starting Redeemable Sc,Game Name,Wager Amount,Rtp
2026-01-01,00:31:00,11:48:00,Golden Hearts,fooyay,Table Games,284.9,278.48,,,278.48,0,,,
2026-01-01,00:35:00,01:04:00,Pulsz Bingo,fooyay,Table Games,502.5,500.45,,,31.15,0,,,
2026-01-01,12:20:00,12:25:00,Modo,mrs. fooyay,Table Games,471.1,494.1,,2026-01-01,56,0,,,
2026-01-01,12:21:00,12:25:00,Spree,fooyay,Table Games,24.48,0.48,Cross to Gwen's Modo,2026-01-01,0.48,0,,,
2026-01-01,12:34:00,16:53:00,Modo,fooyay,Table Games,401.3,393.8,,,393.8,0,,,
2026-01-01,20:53:33,21:33:00,Moonspin,fooyay,Slots,436.54,411.44,,2026-01-01,411.44,0,,,
2026-01-01,00:28:00,11:43:00,Stake,mrs. fooyay,Table Games,4511.25,4409.62,,2026-01-01,4409.62,0,,,
2026-01-01,12:05:00,23:15:00,Stake,mrs. fooyay,Table Games,2506.25,2483.44,,2026-01-01,2483.44,0,,,
2026-01-02,12:50:00,13:08:00,Lonestar,fooyay,Table Games,101.8,0.8,"Freebies acculumated.  Played roulette to cross with Gwen's Modo (which had a basis from 2025 I needed to close out).   Even though this is a -$101 gameplay loss, only $35.20 of that was redeemable balance to begin with, and that was all free SC with no basis.  So the remaining $0.80 is still free SC taxable event.",2026-01-02,0.8,35.2,,,
2026-01-02,12:50:00,13:26:00,Modo,mrs. fooyay,Table Games,494.4,607.4,"Session has a basis from 2025.  Crossed with Elliot's Lonestar on roulette to get this one closed out and redeemable, and Elliot's LS also was all freebies, so this made sense to do.",2026-01-02,607.4,56,,,
2026-01-02,13:20:00,13:26:00,Wow Vegas,fooyay,Table Games,353.86,318.86,"Basis from 2025.  Crossing with Gwen's Modo (also basis from 2025) so that we can get them both closed out.  Wow started with a higher balance because I crossed other sites into it in 2025.  There was a redeemable portion played through in 2025 using our different accounting method, however we adjusted the starting redeemable balance to $0 here in order to correctly report the net P/L.",2026-01-02,318.86,0,,,
2026-01-02,14:10:00,15:00:00,Moonspin,fooyay,Slots,295,259.2,,,259.2,0,,,
2026-01-02,16:30:00,21:00:00,Pulsz Bingo,fooyay,Table Games,501,489.9,Continuing previous unfinished session from 1/2/26,2026-01-02,189.4,31.4,,,
2026-01-02,16:40:00,21:00:00,Modo,fooyay,Table Games,200.3,189.55,,,189.55,0,,,
2026-01-03,15:48:23,15:48:49,Stake,mrs. fooyay,Other,3562.92,3562.92,Free cash Plat IV VIP Bonus and Saturday daily drops.  Dummy sesssion for redemption.,2026-01-03,3562.92,3562.92,,,
2026-01-03,20:15:00,20:38:00,Moonspin,fooyay,Slots,346.48,350.62,"For some reason this session was showing 311.49 in free SC (which is $34.99 the most recent purchase price, less than my starting SC).  I'm guessing it's not grabbing ""start SC"" from teh most recent purchase, but not sure.

The Net P/L doesn't appear to be accounting for the additional SC I received from FS in between sessions.",2026-01-03,350.62,301.48,,,
2026-01-03,21:15:00,21:55:00,Rolling Riches,fooyay,Slots,492.2,442.8,,2026-01-03,442.8,0,,,
2026-01-04,00:30:00,01:07:00,Pulsz Bingo,fooyay,Table Games,489.9,500.2,,2026-01-04,500.2,189.4,,,
2025-12-02,01:50:00,03:00:00,Lonestar,mrs. fooyay,Slots,2413.22,1412.69,,2025-12-02,1412.69,0,,,
2026-01-04,20:50:00,20:56:00,Moonspin,fooyay,Slots,375.62,381.6,,,381.6,350.62,,,
2026-01-05,10:15:00,08:00:00,Stake,fooyay,Table Games,2562.01,2381.58,,2026-01-06,2381.58,55.76,,,
2026-01-05,10:25:00,08:10:00,Stake,mrs. fooyay,Table Games,2507.25,2373.14,,2026-01-06,2373.14,1,,,
2026-01-05,10:55:00,11:10:00,Legendz,fooyay,Slots,220,210,Aloha King Elvis,,210,0,,,
2026-01-05,11:45:00,20:30:00,Modo,mrs. fooyay,Table Games,300.6,313.45,,2026-01-05,313.45,0,,,
2026-01-05,12:12:00,20:45:00,Golden Hearts,fooyay,Table Games,280.9,289,,,289,0,,,
2026-01-05,21:00:00,21:10:00,Moonspin,fooyay,Slots,421.6,411.44,,2026-01-05,411.44,381.6,,,
2026-01-06,08:22:00,08:23:00,Stake,mrs. fooyay,Other,2305,2305,Stake Plat IV Bonus,2026-01-06,2305,2305,,,
