Purchase Date,Purchase Time,Site,Amount,Sc Received,Starting Sc Balance,Card,User,Notes,Cashback Earned
12/2/25,0:00:00,Lonestar,2099.97,2400,13.22,NFCU Authorized User Visa,mrs. fooyay,"Purchase started 2025, carried forward due to outstanding balances",
12/12/25,19:17:00,Real Prize,1269.98,1500,0,NFCU Authorized User Visa,mrs. fooyay,Purchased in 2025 but pending a previous redemption. Carried forward,
12/19/25,19:21:18,Wow Vegas,123.45,160,15.03,NFCU Visa,fooyay,Basis started in 2025,
12/22/25,15:09:00,Clubs Poker,20,20,37,NFCU Visa,fooyay,,
12/26/25,19:20:00,Pulsz,4.99,10,3.7,NFCU Visa,fooyay,,
12/28/25,19:22:00,Moonspin,239.96,335,35.28,NFCU Visa,fooyay,Purchases made in 2025 but not redeemable. Balance carried forward,
12/30/25,19:23:00,Spree,13.49,20,2.68,NFCU Visa,fooyay,2025 purchase but session started in 2026,
12/31/25,19:31:00,Legendz,102.89,110,0,NFCU Visa,fooyay,,
12/31/25,19:23:00,Stake,4500,4511.25,0,NFCU Visa,mrs. fooyay,,
12/31/25,19:25:00,Pulsz Bingo,442.43,500,2.1,NFCU Visa,fooyay,,
12/31/25,19:24:00,Modo,169.98,200,1,NFCU Visa,fooyay,"Purchased 2025, carried forward",
12/31/25,19:25:00,Modo,229.47,270,0.8,NFCU Visa,fooyay,Purchased in 2025 but balance carried forward to 2026,
12/31/25,0:00:00,Lucky Hands,299.99,375,7.6,NFCU Visa,fooyay,,
1/1/26,0:06:00,Golden Hearts,250,283.05,1.65,NFCU Visa,fooyay,,
1/1/26,12:02:00,Stake,500,501.25,0,NFCU Authorized User Visa,mrs. fooyay,,
1/1/26,12:04:00,Stake,2000,2005,501.25,NFCU Authorized User Visa,mrs. fooyay,,
1/1/26,12:07:00,Modo,79.99,100,271.1,NFCU Authorized User Visa,mrs. fooyay,Purchase started 12/31/25 - $229.47/270,
1/1/26,12:10:00,Modo,89.99,100,371.1,NFCU Authorized User Visa,mrs. fooyay,Purchase started 12/31/25 - $229.47/270,
1/1/26,12:13:00,Modo,79.99,100,201,NFCU Visa,fooyay,Purchase started 12/31/25 - $169.98/200,
1/1/26,12:14:00,Modo,89.99,100,301,NFCU Visa,fooyay,Purchase started 12/31/25 - $169.98/200,
1/1/26,20:46:00,Moonspin,69.99,90,346.09,NFCU Visa,fooyay,Basis started in 2025,
1/2/26,9:07:00,Pulsz,7.99,10,14.35,NFCU Visa,fooyay,,
1/2/26,11:42:00,Wow Vegas,30.86,39,314.86,NFCU Visa,fooyay,Basis started in 2025,
1/2/26,11:59:00,Modo,84.99,100,0.3,NFCU Visa,fooyay,,
1/2/26,12:00:00,Modo,89.99,100,100.3,NFCU Visa,fooyay,,
1/2/26,13:47:00,Moonspin,235.95,295,0,NFCU Visa,fooyay,,
1/2/26,14:00:00,Lucky Land Casino,12,20,11.5,NFCU Visa,fooyay,,
1/2/26,16:23:00,Modo,174.98,200,0,NFCU Authorized User Visa,mrs. fooyay,,
1/3/26,20:10:00,Moonspin,34.99,45,301.48,NFCU Visa,fooyay,,
1/3/26,20:35:00,Legendz,102.89,110,110,NFCU Visa,fooyay,,
1/3/26,21:10:00,Rolling Riches,424.91,492,0.2,NFCU Visa,fooyay,,
1/4/26,20:45:00,Moonspin,19.99,25,350.62,NFCU Visa,fooyay,,
1/5/26,9:39:00,Stake,2500,2506.25,55.76,NFCU Visa,fooyay,,
1/5/26,10:10:00,Stake,2500,2506.25,1,NFCU Authorized User Visa,mrs. fooyay,,
1/5/26,11:20:00,Modo,84.99,100,190.45,NFCU Visa,fooyay,,
1/5/26,11:25:00,Modo,84.99,100,200.6,NFCU Authorized User Visa,mrs. fooyay,,
